alert1_ip,alert2_ip,time_diff_minutes,threat_type,correlation_text,should_correlate
192.168.1.151,192.168.1.201,3,ddos,"charlie at 192.168.1.151 attempted data access, then user1 at 192.168.1.201 accessed same resource",1
192.168.2.101,192.168.8.176,64,ddos,Unique threat pattern at 192.168.2.101 no correlation,0
192.168.9.151,192.168.9.51,1,ddos,"alice at 192.168.9.151 attempted data access, then user2 at 192.168.9.51 accessed same resource",1
192.168.8.101,192.168.6.1,45,ddos,ddos attack from 192.168.8.101 unrelated to other incidents,0
192.168.3.76,192.168.3.76,4,ddos,Multiple ddos attacks: 192.168.3.76 -> 192.168.3.76 with common pattern,1
192.168.6.176,192.168.6.76,5,ddos,"david at 192.168.6.176 attempted data access, then user1 at 192.168.6.76 accessed same resource",1
192.168.1.26,192.168.1.26,3,ddos,Alert streak: ddos detected at 192.168.1.26 and 192.168.1.26 in 5-min window,1
192.168.8.76,192.168.7.1,89,ddos,Single point ddos detection at 192.168.8.76 independent,0
192.168.7.226,192.168.3.176,52,ddos,Single user admin at 192.168.7.226 suspicious activity standalone,0
192.168.9.151,192.168.9.26,5,ddos,"admin at 192.168.9.151 attempted data access, then david at 192.168.9.26 accessed same resource",1
192.168.6.51,192.168.6.226,3,ddos,Failed login from 192.168.6.51 followed by failed login from 192.168.6.226 within 2 minutes,1
192.168.4.76,192.168.4.226,1,ddos,Correlated threat: ddos activity from 192.168.4.76 and 192.168.4.226 same source network,1
192.168.9.51,192.168.4.51,48,ddos,ddos attack from 192.168.9.51 unrelated to other incidents,0
192.168.8.176,192.168.2.76,55,ddos,Unique threat pattern at 192.168.8.176 no correlation,0
192.168.5.51,192.168.5.126,2,ddos,Alert streak: ddos detected at 192.168.5.51 and 192.168.5.126 in 5-min window,1
192.168.9.26,192.168.5.26,104,ddos,Unique threat pattern at 192.168.9.26 no correlation,0
192.168.6.51,192.168.6.101,4,ddos,Failed login from 192.168.6.51 followed by failed login from 192.168.6.101 within 2 minutes,1
192.168.7.76,192.168.7.176,4,ddos,Failed login from 192.168.7.76 followed by failed login from 192.168.7.176 within 2 minutes,1
192.168.9.1,192.168.5.1,44,ddos,Single user charlie at 192.168.9.1 suspicious activity standalone,0
192.168.7.126,192.168.1.26,115,ddos,ddos attack from 192.168.7.126 unrelated to other incidents,0
192.168.8.151,192.168.8.76,5,ddos,Alert streak: ddos detected at 192.168.8.151 and 192.168.8.76 in 5-min window,1
192.168.1.201,192.168.2.51,112,ddos,Single user admin at 192.168.1.201 suspicious activity standalone,0
192.168.8.51,192.168.8.101,3,ddos,Alert streak: ddos detected at 192.168.8.51 and 192.168.8.101 in 5-min window,1
192.168.2.101,192.168.7.51,78,ddos,Unique threat pattern at 192.168.2.101 no correlation,0
192.168.3.101,192.168.2.76,102,ddos,Isolated ddos from 192.168.3.101 not related to other activity,0
192.168.6.26,192.168.8.76,73,ddos,ddos attack from 192.168.6.26 unrelated to other incidents,0
192.168.1.126,192.168.3.51,79,ddos,Unique threat pattern at 192.168.1.126 no correlation,0
192.168.4.176,192.168.2.101,48,ddos,Isolated ddos from 192.168.4.176 not related to other activity,0
192.168.1.151,192.168.1.176,4,ddos,Alert streak: ddos detected at 192.168.1.151 and 192.168.1.176 in 5-min window,1
192.168.3.51,192.168.3.151,5,ddos,Alert streak: ddos detected at 192.168.3.51 and 192.168.3.151 in 5-min window,1
192.168.1.76,192.168.1.126,2,ddos,"bob at 192.168.1.76 attempted data access, then alice at 192.168.1.126 accessed same resource",1
192.168.9.151,192.168.4.26,33,ddos,Single point ddos detection at 192.168.9.151 independent,0
192.168.2.126,192.168.7.226,47,ddos,Single user admin at 192.168.2.126 suspicious activity standalone,0
192.168.1.151,192.168.1.201,1,ddos,Correlated threat: ddos activity from 192.168.1.151 and 192.168.1.201 same source network,1
192.168.8.1,192.168.5.176,106,ddos,Single point ddos detection at 192.168.8.1 independent,0
192.168.4.226,192.168.4.1,2,ddos,Alert streak: ddos detected at 192.168.4.226 and 192.168.4.1 in 5-min window,1
192.168.3.151,192.168.7.101,45,ddos,Single user user1 at 192.168.3.151 suspicious activity standalone,0
192.168.1.51,192.168.5.201,109,ddos,Unique threat pattern at 192.168.1.51 no correlation,0
192.168.9.76,192.168.9.1,3,ddos,Correlated threat: ddos activity from 192.168.9.76 and 192.168.9.1 same source network,1
192.168.3.126,192.168.3.51,4,ddos,Multiple ddos attacks: 192.168.3.126 -> 192.168.3.51 with common pattern,1
192.168.5.226,192.168.5.26,4,ddos,Failed login from 192.168.5.226 followed by failed login from 192.168.5.26 within 2 minutes,1
192.168.1.76,192.168.3.126,60,ddos,Unique threat pattern at 192.168.1.76 no correlation,0
192.168.9.126,192.168.1.51,74,ddos,Unique threat pattern at 192.168.9.126 no correlation,0
192.168.8.226,192.168.6.76,80,ddos,Single user user1 at 192.168.8.226 suspicious activity standalone,0
192.168.8.151,192.168.7.51,97,ddos,Single user charlie at 192.168.8.151 suspicious activity standalone,0
192.168.1.26,192.168.1.26,4,ddos,Correlated threat: ddos activity from 192.168.1.26 and 192.168.1.26 same source network,1
192.168.3.76,192.168.3.226,2,ddos,Correlated threat: ddos activity from 192.168.3.76 and 192.168.3.226 same source network,1
192.168.6.76,192.168.6.1,2,ddos,Alert streak: ddos detected at 192.168.6.76 and 192.168.6.1 in 5-min window,1
192.168.7.1,192.168.6.176,46,ddos,Single user user1 at 192.168.7.1 suspicious activity standalone,0
192.168.6.26,192.168.7.26,78,ddos,Single user david at 192.168.6.26 suspicious activity standalone,0
192.168.2.126,192.168.4.1,107,ddos,Single point ddos detection at 192.168.2.126 independent,0
192.168.8.76,192.168.8.126,4,ddos,"user2 at 192.168.8.76 attempted data access, then user2 at 192.168.8.126 accessed same resource",1
192.168.8.126,192.168.8.201,5,ddos,Failed login from 192.168.8.126 followed by failed login from 192.168.8.201 within 2 minutes,1
192.168.6.176,192.168.6.226,4,ddos,Alert streak: ddos detected at 192.168.6.176 and 192.168.6.226 in 5-min window,1
192.168.5.76,192.168.7.176,61,ddos,Single user bob at 192.168.5.76 suspicious activity standalone,0
192.168.9.101,192.168.2.176,98,ddos,Single point ddos detection at 192.168.9.101 independent,0
192.168.3.26,192.168.3.126,2,ddos,Alert streak: ddos detected at 192.168.3.26 and 192.168.3.126 in 5-min window,1
192.168.5.201,192.168.5.101,4,ddos,"alice at 192.168.5.201 attempted data access, then bob at 192.168.5.101 accessed same resource",1
192.168.1.151,192.168.1.151,1,ddos,Alert streak: ddos detected at 192.168.1.151 and 192.168.1.151 in 5-min window,1
192.168.8.126,192.168.7.151,111,ddos,Single point ddos detection at 192.168.8.126 independent,0
192.168.9.226,192.168.8.176,83,ddos,ddos attack from 192.168.9.226 unrelated to other incidents,0
192.168.8.51,192.168.6.126,114,ddos,ddos attack from 192.168.8.51 unrelated to other incidents,0
192.168.4.51,192.168.4.51,2,ddos,Multiple ddos attacks: 192.168.4.51 -> 192.168.4.51 with common pattern,1
192.168.3.76,192.168.7.1,114,ddos,Single user user1 at 192.168.3.76 suspicious activity standalone,0
192.168.7.101,192.168.7.51,5,ddos,Multiple ddos attacks: 192.168.7.101 -> 192.168.7.51 with common pattern,1
192.168.5.176,192.168.8.101,87,ddos,Unique threat pattern at 192.168.5.176 no correlation,0
192.168.4.176,192.168.4.26,5,ddos,Alert streak: ddos detected at 192.168.4.176 and 192.168.4.26 in 5-min window,1
192.168.4.1,192.168.4.26,5,ddos,Correlated threat: ddos activity from 192.168.4.1 and 192.168.4.26 same source network,1
192.168.6.176,192.168.6.76,2,ddos,"eve at 192.168.6.176 attempted data access, then david at 192.168.6.76 accessed same resource",1
192.168.9.76,192.168.9.101,4,ddos,"alice at 192.168.9.76 attempted data access, then david at 192.168.9.101 accessed same resource",1
192.168.6.176,192.168.6.101,5,ddos,Failed login from 192.168.6.176 followed by failed login from 192.168.6.101 within 2 minutes,1
192.168.3.76,192.168.6.51,60,ddos,Isolated ddos from 192.168.3.76 not related to other activity,0
192.168.7.26,192.168.7.1,4,ddos,"alice at 192.168.7.26 attempted data access, then user1 at 192.168.7.1 accessed same resource",1
192.168.3.176,192.168.5.201,73,ddos,ddos attack from 192.168.3.176 unrelated to other incidents,0
192.168.2.51,192.168.2.226,5,ddos,Alert streak: ddos detected at 192.168.2.51 and 192.168.2.226 in 5-min window,1
192.168.6.101,192.168.8.26,103,ddos,Single user alice at 192.168.6.101 suspicious activity standalone,0
192.168.5.26,192.168.5.151,3,ddos,Failed login from 192.168.5.26 followed by failed login from 192.168.5.151 within 2 minutes,1
192.168.8.76,192.168.3.26,36,ddos,Single point ddos detection at 192.168.8.76 independent,0
192.168.6.101,192.168.5.26,48,ddos,Unique threat pattern at 192.168.6.101 no correlation,0
192.168.3.176,192.168.4.51,79,ddos,Single point ddos detection at 192.168.3.176 independent,0
192.168.5.51,192.168.1.126,53,ddos,Single user user1 at 192.168.5.51 suspicious activity standalone,0
192.168.8.26,192.168.1.176,73,ddos,ddos attack from 192.168.8.26 unrelated to other incidents,0
192.168.6.1,192.168.6.176,4,ddos,Multiple ddos attacks: 192.168.6.1 -> 192.168.6.176 with common pattern,1
192.168.1.26,192.168.9.1,94,ddos,ddos attack from 192.168.1.26 unrelated to other incidents,0
192.168.2.126,192.168.2.1,1,ddos,Correlated threat: ddos activity from 192.168.2.126 and 192.168.2.1 same source network,1
192.168.3.226,192.168.3.226,2,ddos,Multiple ddos attacks: 192.168.3.226 -> 192.168.3.226 with common pattern,1
192.168.1.201,192.168.1.126,3,ddos,Correlated threat: ddos activity from 192.168.1.201 and 192.168.1.126 same source network,1
192.168.8.1,192.168.3.201,83,ddos,Isolated ddos from 192.168.8.1 not related to other activity,0
192.168.6.101,192.168.6.76,3,ddos,Multiple ddos attacks: 192.168.6.101 -> 192.168.6.76 with common pattern,1
192.168.2.1,192.168.2.101,2,ddos,"david at 192.168.2.1 attempted data access, then user2 at 192.168.2.101 accessed same resource",1
192.168.8.51,192.168.9.226,66,ddos,Single point ddos detection at 192.168.8.51 independent,0
192.168.7.201,192.168.8.126,53,ddos,Isolated ddos from 192.168.7.201 not related to other activity,0
192.168.1.176,192.168.1.51,3,ddos,Correlated threat: ddos activity from 192.168.1.176 and 192.168.1.51 same source network,1
192.168.8.101,192.168.4.101,108,ddos,Isolated ddos from 192.168.8.101 not related to other activity,0
192.168.4.226,192.168.1.1,94,ddos,Isolated ddos from 192.168.4.226 not related to other activity,0
192.168.5.26,192.168.7.101,33,ddos,Single point ddos detection at 192.168.5.26 independent,0
192.168.3.51,192.168.3.1,1,ddos,Failed login from 192.168.3.51 followed by failed login from 192.168.3.1 within 2 minutes,1
192.168.4.126,192.168.4.51,3,ddos,Correlated threat: ddos activity from 192.168.4.126 and 192.168.4.51 same source network,1
192.168.5.76,192.168.7.201,42,ddos,ddos attack from 192.168.5.76 unrelated to other incidents,0
192.168.8.1,192.168.4.51,104,ddos,Single user charlie at 192.168.8.1 suspicious activity standalone,0
192.168.7.1,192.168.6.1,53,ddos,Isolated ddos from 192.168.7.1 not related to other activity,0
192.168.1.1,192.168.5.76,32,ddos,ddos attack from 192.168.1.1 unrelated to other incidents,0
192.168.9.76,192.168.9.226,1,ddos,Failed login from 192.168.9.76 followed by failed login from 192.168.9.226 within 2 minutes,1
192.168.4.51,192.168.4.76,3,ddos,Alert streak: ddos detected at 192.168.4.51 and 192.168.4.76 in 5-min window,1
192.168.9.51,192.168.1.26,81,ddos,Single user eve at 192.168.9.51 suspicious activity standalone,0
192.168.3.51,192.168.3.76,3,ddos,Correlated threat: ddos activity from 192.168.3.51 and 192.168.3.76 same source network,1
192.168.5.226,192.168.5.76,1,ddos,Alert streak: ddos detected at 192.168.5.226 and 192.168.5.76 in 5-min window,1
192.168.9.51,192.168.9.1,3,ddos,Multiple ddos attacks: 192.168.9.51 -> 192.168.9.1 with common pattern,1
192.168.5.226,192.168.9.201,62,ddos,Single point ddos detection at 192.168.5.226 independent,0
192.168.2.151,192.168.2.26,3,ddos,Correlated threat: ddos activity from 192.168.2.151 and 192.168.2.26 same source network,1
192.168.3.76,192.168.1.101,89,ddos,Isolated ddos from 192.168.3.76 not related to other activity,0
192.168.8.226,192.168.8.26,3,ddos,Multiple ddos attacks: 192.168.8.226 -> 192.168.8.26 with common pattern,1
192.168.3.126,192.168.7.76,61,ddos,Unique threat pattern at 192.168.3.126 no correlation,0
192.168.2.26,192.168.1.201,58,ddos,Unique threat pattern at 192.168.2.26 no correlation,0
192.168.7.51,192.168.6.76,116,ddos,Unique threat pattern at 192.168.7.51 no correlation,0
192.168.4.126,192.168.5.201,94,ddos,Single point ddos detection at 192.168.4.126 independent,0
192.168.8.51,192.168.8.76,2,ddos,Alert streak: ddos detected at 192.168.8.51 and 192.168.8.76 in 5-min window,1
192.168.2.101,192.168.3.176,52,ddos,ddos attack from 192.168.2.101 unrelated to other incidents,0
192.168.8.151,192.168.3.226,100,ddos,ddos attack from 192.168.8.151 unrelated to other incidents,0
192.168.2.226,192.168.4.226,83,ddos,Unique threat pattern at 192.168.2.226 no correlation,0
192.168.1.226,192.168.1.151,5,ddos,"bob at 192.168.1.226 attempted data access, then eve at 192.168.1.151 accessed same resource",1
192.168.8.26,192.168.9.101,32,ddos,Single point ddos detection at 192.168.8.26 independent,0
192.168.1.26,192.168.1.201,1,ddos,Correlated threat: ddos activity from 192.168.1.26 and 192.168.1.201 same source network,1
192.168.3.201,192.168.6.176,106,ddos,Single point ddos detection at 192.168.3.201 independent,0
192.168.8.226,192.168.6.101,99,ddos,Single user user2 at 192.168.8.226 suspicious activity standalone,0
192.168.6.76,192.168.8.176,95,ddos,Single user bob at 192.168.6.76 suspicious activity standalone,0
192.168.5.151,192.168.3.151,49,ddos,Single point ddos detection at 192.168.5.151 independent,0
192.168.1.151,192.168.7.76,55,ddos,Isolated ddos from 192.168.1.151 not related to other activity,0
192.168.5.201,192.168.5.201,5,ddos,Alert streak: ddos detected at 192.168.5.201 and 192.168.5.201 in 5-min window,1
192.168.8.176,192.168.8.51,4,ddos,Correlated threat: ddos activity from 192.168.8.176 and 192.168.8.51 same source network,1
192.168.3.51,192.168.3.76,2,ddos,Multiple ddos attacks: 192.168.3.51 -> 192.168.3.76 with common pattern,1
192.168.7.201,192.168.1.76,36,ddos,Single user user1 at 192.168.7.201 suspicious activity standalone,0
192.168.3.26,192.168.6.151,103,ddos,Single user charlie at 192.168.3.26 suspicious activity standalone,0
192.168.6.76,192.168.9.51,86,ddos,Isolated ddos from 192.168.6.76 not related to other activity,0
192.168.8.126,192.168.8.126,2,ddos,Multiple ddos attacks: 192.168.8.126 -> 192.168.8.126 with common pattern,1
192.168.3.151,192.168.3.126,5,ddos,"bob at 192.168.3.151 attempted data access, then admin at 192.168.3.126 accessed same resource",1
192.168.8.1,192.168.3.176,52,ddos,Single point ddos detection at 192.168.8.1 independent,0
192.168.1.101,192.168.1.51,2,ddos,"bob at 192.168.1.101 attempted data access, then user2 at 192.168.1.51 accessed same resource",1
192.168.3.226,192.168.3.151,2,ddos,Multiple ddos attacks: 192.168.3.226 -> 192.168.3.151 with common pattern,1
192.168.6.51,192.168.7.201,36,ddos,ddos attack from 192.168.6.51 unrelated to other incidents,0
192.168.4.226,192.168.3.201,109,ddos,Single user david at 192.168.4.226 suspicious activity standalone,0
192.168.4.201,192.168.2.51,114,ddos,ddos attack from 192.168.4.201 unrelated to other incidents,0
192.168.8.76,192.168.7.151,57,ddos,ddos attack from 192.168.8.76 unrelated to other incidents,0
192.168.3.101,192.168.2.151,46,ddos,Single user bob at 192.168.3.101 suspicious activity standalone,0
192.168.9.1,192.168.2.176,49,ddos,Unique threat pattern at 192.168.9.1 no correlation,0
192.168.7.51,192.168.7.226,4,ddos,Alert streak: ddos detected at 192.168.7.51 and 192.168.7.226 in 5-min window,1
192.168.6.51,192.168.9.101,92,ddos,Single point ddos detection at 192.168.6.51 independent,0
192.168.5.51,192.168.1.26,52,ddos,Single user bob at 192.168.5.51 suspicious activity standalone,0
192.168.2.26,192.168.2.226,3,ddos,Correlated threat: ddos activity from 192.168.2.26 and 192.168.2.226 same source network,1
192.168.2.201,192.168.8.151,39,ddos,Single user user2 at 192.168.2.201 suspicious activity standalone,0
192.168.9.126,192.168.9.176,5,ddos,"user1 at 192.168.9.126 attempted data access, then charlie at 192.168.9.176 accessed same resource",1
192.168.5.51,192.168.5.76,2,ddos,Multiple ddos attacks: 192.168.5.51 -> 192.168.5.76 with common pattern,1
192.168.3.51,192.168.9.151,113,ddos,Unique threat pattern at 192.168.3.51 no correlation,0
192.168.3.76,192.168.9.201,94,ddos,ddos attack from 192.168.3.76 unrelated to other incidents,0
192.168.7.226,192.168.7.26,2,ddos,Multiple ddos attacks: 192.168.7.226 -> 192.168.7.26 with common pattern,1
192.168.4.176,192.168.4.151,4,ddos,Multiple ddos attacks: 192.168.4.176 -> 192.168.4.151 with common pattern,1
192.168.4.51,192.168.9.26,33,ddos,Isolated ddos from 192.168.4.51 not related to other activity,0
192.168.4.26,192.168.5.51,42,ddos,ddos attack from 192.168.4.26 unrelated to other incidents,0
192.168.8.126,192.168.8.51,1,ddos,Multiple ddos attacks: 192.168.8.126 -> 192.168.8.51 with common pattern,1
192.168.7.226,192.168.7.101,4,ddos,"user1 at 192.168.7.226 attempted data access, then bob at 192.168.7.101 accessed same resource",1
192.168.2.201,192.168.6.76,113,ddos,ddos attack from 192.168.2.201 unrelated to other incidents,0
192.168.9.1,192.168.4.126,40,ddos,ddos attack from 192.168.9.1 unrelated to other incidents,0
192.168.7.226,192.168.6.51,96,ddos,Unique threat pattern at 192.168.7.226 no correlation,0
192.168.7.201,192.168.7.176,5,ddos,"admin at 192.168.7.201 attempted data access, then user2 at 192.168.7.176 accessed same resource",1
192.168.8.176,192.168.7.176,111,ddos,Unique threat pattern at 192.168.8.176 no correlation,0
192.168.6.226,192.168.6.201,3,ddos,Multiple ddos attacks: 192.168.6.226 -> 192.168.6.201 with common pattern,1
192.168.8.151,192.168.7.76,75,ddos,Unique threat pattern at 192.168.8.151 no correlation,0
192.168.6.101,192.168.6.51,1,ddos,"eve at 192.168.6.101 attempted data access, then eve at 192.168.6.51 accessed same resource",1
192.168.3.176,192.168.3.201,1,ddos,Correlated threat: ddos activity from 192.168.3.176 and 192.168.3.201 same source network,1
192.168.2.101,192.168.6.1,60,ddos,Single user alice at 192.168.2.101 suspicious activity standalone,0
192.168.5.76,192.168.5.201,4,ddos,Multiple ddos attacks: 192.168.5.76 -> 192.168.5.201 with common pattern,1
192.168.9.26,192.168.9.76,5,ddos,Alert streak: ddos detected at 192.168.9.26 and 192.168.9.76 in 5-min window,1
192.168.7.201,192.168.6.151,115,ddos,Single user eve at 192.168.7.201 suspicious activity standalone,0
192.168.6.1,192.168.5.101,76,ddos,Unique threat pattern at 192.168.6.1 no correlation,0
192.168.7.1,192.168.7.1,4,ddos,Failed login from 192.168.7.1 followed by failed login from 192.168.7.1 within 2 minutes,1
192.168.3.51,192.168.2.51,111,ddos,ddos attack from 192.168.3.51 unrelated to other incidents,0
192.168.6.201,192.168.6.76,2,ddos,Failed login from 192.168.6.201 followed by failed login from 192.168.6.76 within 2 minutes,1
192.168.5.76,192.168.5.151,1,ddos,Failed login from 192.168.5.76 followed by failed login from 192.168.5.151 within 2 minutes,1
192.168.7.26,192.168.7.126,3,ddos,Multiple ddos attacks: 192.168.7.26 -> 192.168.7.126 with common pattern,1
192.168.3.51,192.168.5.151,54,ddos,Unique threat pattern at 192.168.3.51 no correlation,0
192.168.8.1,192.168.8.201,1,ddos,Multiple ddos attacks: 192.168.8.1 -> 192.168.8.201 with common pattern,1
192.168.3.201,192.168.3.201,3,ddos,"eve at 192.168.3.201 attempted data access, then user1 at 192.168.3.201 accessed same resource",1
192.168.1.51,192.168.1.26,3,ddos,Failed login from 192.168.1.51 followed by failed login from 192.168.1.26 within 2 minutes,1
192.168.8.76,192.168.8.176,1,ddos,Correlated threat: ddos activity from 192.168.8.76 and 192.168.8.176 same source network,1
192.168.3.76,192.168.3.51,3,ddos,Alert streak: ddos detected at 192.168.3.76 and 192.168.3.51 in 5-min window,1
192.168.8.26,192.168.2.126,62,ddos,Single user bob at 192.168.8.26 suspicious activity standalone,0
192.168.3.51,192.168.6.151,72,ddos,Unique threat pattern at 192.168.3.51 no correlation,0
192.168.1.226,192.168.7.126,100,ddos,Single point ddos detection at 192.168.1.226 independent,0
192.168.4.51,192.168.4.226,3,ddos,Failed login from 192.168.4.51 followed by failed login from 192.168.4.226 within 2 minutes,1
192.168.4.151,192.168.4.226,4,ddos,Alert streak: ddos detected at 192.168.4.151 and 192.168.4.226 in 5-min window,1
192.168.9.1,192.168.9.101,4,ddos,Failed login from 192.168.9.1 followed by failed login from 192.168.9.101 within 2 minutes,1
192.168.2.126,192.168.5.26,115,ddos,Unique threat pattern at 192.168.2.126 no correlation,0
192.168.7.76,192.168.7.126,2,ddos,"david at 192.168.7.76 attempted data access, then david at 192.168.7.126 accessed same resource",1
192.168.5.51,192.168.5.226,4,ddos,Multiple ddos attacks: 192.168.5.51 -> 192.168.5.226 with common pattern,1
192.168.7.201,192.168.7.1,5,ddos,Multiple ddos attacks: 192.168.7.201 -> 192.168.7.1 with common pattern,1
192.168.9.226,192.168.1.176,110,ddos,ddos attack from 192.168.9.226 unrelated to other incidents,0
192.168.8.226,192.168.8.126,1,ddos,Multiple ddos attacks: 192.168.8.226 -> 192.168.8.126 with common pattern,1
192.168.5.226,192.168.2.201,98,ddos,Single point ddos detection at 192.168.5.226 independent,0
192.168.4.51,192.168.4.126,3,ddos,"david at 192.168.4.51 attempted data access, then david at 192.168.4.126 accessed same resource",1
192.168.1.126,192.168.9.226,105,ddos,Single point ddos detection at 192.168.1.126 independent,0
192.168.2.101,192.168.2.51,2,ddos,Correlated threat: ddos activity from 192.168.2.101 and 192.168.2.51 same source network,1
192.168.6.76,192.168.6.51,3,ddos,Correlated threat: ddos activity from 192.168.6.76 and 192.168.6.51 same source network,1
192.168.4.226,192.168.9.201,118,ddos,Unique threat pattern at 192.168.4.226 no correlation,0
192.168.5.1,192.168.1.26,99,ddos,Unique threat pattern at 192.168.5.1 no correlation,0
192.168.4.176,192.168.4.51,3,ddos,Alert streak: ddos detected at 192.168.4.176 and 192.168.4.51 in 5-min window,1
192.168.6.226,192.168.6.126,1,ddos,"eve at 192.168.6.226 attempted data access, then user2 at 192.168.6.126 accessed same resource",1
192.168.7.201,192.168.7.76,5,ddos,Alert streak: ddos detected at 192.168.7.201 and 192.168.7.76 in 5-min window,1
192.168.5.51,192.168.5.26,3,ddos,Multiple ddos attacks: 192.168.5.51 -> 192.168.5.26 with common pattern,1
192.168.1.76,192.168.1.1,1,ddos,"charlie at 192.168.1.76 attempted data access, then user1 at 192.168.1.1 accessed same resource",1
192.168.3.226,192.168.3.226,1,ddos,Multiple ddos attacks: 192.168.3.226 -> 192.168.3.226 with common pattern,1
192.168.9.226,192.168.1.151,65,ddos,Isolated ddos from 192.168.9.226 not related to other activity,0
192.168.4.26,192.168.2.101,68,ddos,Single user alice at 192.168.4.26 suspicious activity standalone,0
192.168.8.26,192.168.8.176,2,ddos,Correlated threat: ddos activity from 192.168.8.26 and 192.168.8.176 same source network,1
192.168.8.226,192.168.8.226,3,ddos,Correlated threat: ddos activity from 192.168.8.226 and 192.168.8.226 same source network,1
192.168.2.201,192.168.6.176,66,ddos,Unique threat pattern at 192.168.2.201 no correlation,0
192.168.4.151,192.168.1.1,75,ddos,ddos attack from 192.168.4.151 unrelated to other incidents,0
192.168.3.51,192.168.1.151,31,ddos,Unique threat pattern at 192.168.3.51 no correlation,0
192.168.9.76,192.168.8.76,116,ddos,Single user admin at 192.168.9.76 suspicious activity standalone,0
192.168.1.101,192.168.2.76,111,ddos,Single point ddos detection at 192.168.1.101 independent,0
192.168.4.126,192.168.4.101,3,ddos,Alert streak: ddos detected at 192.168.4.126 and 192.168.4.101 in 5-min window,1
192.168.5.1,192.168.5.226,4,ddos,"david at 192.168.5.1 attempted data access, then user2 at 192.168.5.226 accessed same resource",1
192.168.5.201,192.168.6.51,91,ddos,Isolated ddos from 192.168.5.201 not related to other activity,0
192.168.3.201,192.168.8.126,37,ddos,Isolated ddos from 192.168.3.201 not related to other activity,0
192.168.7.76,192.168.6.51,42,ddos,Single user user1 at 192.168.7.76 suspicious activity standalone,0
192.168.6.26,192.168.1.151,77,ddos,Single point ddos detection at 192.168.6.26 independent,0
192.168.8.76,192.168.8.226,1,ddos,"admin at 192.168.8.76 attempted data access, then charlie at 192.168.8.226 accessed same resource",1
192.168.4.176,192.168.6.1,90,ddos,Unique threat pattern at 192.168.4.176 no correlation,0
192.168.6.101,192.168.6.226,4,ddos,"user2 at 192.168.6.101 attempted data access, then charlie at 192.168.6.226 accessed same resource",1
192.168.9.51,192.168.9.226,4,ddos,"charlie at 192.168.9.51 attempted data access, then user1 at 192.168.9.226 accessed same resource",1
192.168.2.76,192.168.6.176,93,ddos,Unique threat pattern at 192.168.2.76 no correlation,0
192.168.6.176,192.168.3.76,118,ddos,Unique threat pattern at 192.168.6.176 no correlation,0
192.168.5.201,192.168.5.26,1,ddos,"david at 192.168.5.201 attempted data access, then david at 192.168.5.26 accessed same resource",1
192.168.5.1,192.168.5.176,1,ddos,Correlated threat: ddos activity from 192.168.5.1 and 192.168.5.176 same source network,1
192.168.7.201,192.168.7.101,5,ddos,Alert streak: ddos detected at 192.168.7.201 and 192.168.7.101 in 5-min window,1
192.168.5.76,192.168.9.1,92,ddos,Isolated ddos from 192.168.5.76 not related to other activity,0
192.168.9.151,192.168.5.101,116,ddos,Unique threat pattern at 192.168.9.151 no correlation,0
